"타임스탬프","학년","MBTI 첫 문자가 무엇인가요?","MBTI 두번째 문자가 무엇인가요?","MBTI 세번째 문자가 무엇인가요?","MBTI 네번째 문자가 무엇인가요?","MBTI가 자신의 성격을 잘 나타낸다고 생각하시나요?","MBTI가 학업 성취도와 연관이 있다고 생각하시나요?","학업 성취도와 연관이 있다고 생각하시면 어떤 MBTI가 가장 뛰어난 학업 성취도를 보일 것 같다고 생각하시나요?",""
"6/6/2024 11:32:57","11학년","I","S","T","P","네","아니오","ENTJ",""
"6/6/2024 11:39:52","11학년","I","N","T","P","네","네","INTJ",""
"6/6/2024 11:41:30","11학년","E","S","F","P","네","아니오","연관 없음",""
"6/6/2024 12:30:20","10학년","E","N","F","P","네","네","INTJ",""
"6/6/2024 12:30:37","9학년","I","S","T","J","네","네","INTP",""
"6/6/2024 12:30:53","8학년","I","N","T","P","네","네","INTP",""
"6/6/2024 12:31:13","11학년","I","N","T","J","네","네","INTP",""
"6/6/2024 13:03:04","12학년","I","N","F","J","네","아니오","INTJ",""
"6/6/2024 13:04:41","11학년","E","S","F","J","네","아니오","연관 없음",""
"6/6/2024 13:05:10","11학년","I","N","T","P","아니오","아니오","INTP/SP",""
"6/6/2024 13:05:27","10학년","I","S","F","P","네","네","ESTJ",""
"6/6/2024 13:07:50","11학년","E","N","F","P","아니오","네","ENTJ",""
"6/6/2024 13:08:16","12학년","E","N","F","P","네","아니오","INTJ",""
"6/6/2024 13:14:11","11학년","I","N","T","P","네","네","ESTJ",""
"6/6/2024 13:23:58","11학년","E","N","T","P","네","네","연관 없음",""
"6/6/2024 14:06:50","11학년","I","N","F","P","네","네","나",""
"6/6/2024 14:32:10","12학년","E","N","T","P","네","아니오","ISTJ",""
"6/6/2024 14:40:12","9학년","I","S","T","J","네","아니오","INTJ",""
"6/6/2024 15:03:03","11학년","I","N","F","P","네","아니오","ESTJ",""
"6/6/2024 15:12:08","11학년","I","S","F","J","네","아니오","ESTJ",""
"6/6/2024 15:24:46","8학년","I","S","T","P","네","네","ESTJ",""
"6/6/2024 15:25:40","12학년","E","S","F","P","네","네","연관 없음",""
"6/6/2024 15:35:44","11학년","I","S","F","P","네","아니오","ESTJ",""
"6/6/2024 15:44:44","11학년","I","N","F","P","네","네","ENTJ",""
"6/6/2024 17:00:25","8학년","I","N","F","P","네","아니오","ESTP",""
"6/6/2024 18:55:40","10학년","E","S","F","P","네","네","INFJ",""
"6/6/2024 19:32:49","11학년","I","N","F","P","네","아니오","SEXY",""
"6/6/2024 20:40:08","11학년","I","N","T","P","네","아니오","ENTJ",""
"6/7/2024 6:23:36","11학년","E","N","F","P","네","아니오","INTJ",""
"6/7/2024 11:58:08","11학년","E","S","F","J","네","아니오","연관 없음",""
